Car Name,Car Detail Link,Car Detail Link-href,Fuel Type,Current Color,Seat,Registration Date,Registration Type,Current Mileage,Spare Key,Service Book,Principal Warranty,Road Tax Exp Date,Car Location,Price
2018 Toyota KIJANG INNOVA REBORN V 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/kijang-innova/2018-toyota-kijang-innova-reborn-v-2.4/cam1000,Diesel,Black,7,12/18/2022,Company,51.502 km,No,No,No,12/22/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          372.000.000"
2017 Suzuki ERTIGA GL 1.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ertiga/2017-suzuki-ertiga-gl-1.4/cs94000,Petrol,Gray,7,11/17/2022,Private,63.558 km,Yes,Yes,No,11/22/2022,"Carsome Depok, Depok","Rp
          150.000.000"
2014 Honda BRIO SATYA E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2014-honda-brio-satya-e-1.2/cs64000,Petrol,Red,5,12/14/2022,Private,23.415 km,Yes,Yes,No,12/22/2022,"Carsome Bogor, Bogor","Rp
          117.000.000"
2018 Honda MOBILIO E 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/mobilio/2018-honda-mobilio-e-1.5/ccg4000,Petrol,Gray,7,10/18/2022,Private,51.379 km,No,No,No,11/22/2022,"Carsome Bogor, Bogor","Rp
          182.000.000"
2019 Daihatsu AYLA R 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/daihatsu/ayla/2019-daihatsu-ayla-r-1.2/c234000,Petrol,Red,5,1/19/2022,Private,32.193 km,Yes,Yes,No,1/23/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          136.000.000"
2017 Suzuki IGNIS GX AGS 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ignis/2017-suzuki-ignis-gx-ags-1.2/c0y4000,Petrol,Blue,5,11/17/2022,Private,57.301 km,Yes,Yes,No,11/22/2022,"Carsome Malang, Malang","Rp
          147.000.000"
2016 Daihatsu XENIA X 1.3,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/daihatsu/xenia/2016-daihatsu-xenia-x-1.3/cfu3000,Petrol,Red,7,2/16/2022,Private,110.629 km,No,Yes,No,3/23/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          135.000.000"
2018 Toyota RUSH S 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/rush/2018-toyota-rush-s-1.5/cf74000,Petrol,White,7,10/18/2022,Private,62.988 km,Yes,Yes,No,10/22/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          220.000.000"
2014 Honda CR-V PRESTIGE 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/cr-v/2014-honda-cr-v-prestige-2.4/cp94000,Petrol,White,5,11/14/2022,Private,99.520 km,No,Yes,No,12/22/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          238.000.000"
2018 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2018-toyota-calya-g-1.2/cvy4000,Petrol,Gray,7,4/18/2022,Private,23.159 km,Yes,Yes,No,5/23/2022,"Carsome Bogor, Bogor","Rp
          131.000.000"
2016 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2016-toyota-calya-g-1.2/cuv4000,Petrol,Black,7,1/17/2022,Private,60.328 km,Yes,No,No,1/23/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          123.000.000"
2019 Suzuki BALENO HATCHBACK 1.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/baleno/2019-suzuki-baleno-hatchback-1.4/c1z4000,Petrol,White,5,1/20/2022,Private,35.178 km,Yes,Yes,1/23/2022,1/23/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          202.000.000"
2015 Toyota AGYA G 1.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/agya/2015-toyota-agya-g-1.0/crr4000,Petrol,Silver,5,11/15/2022,Private,68.658 km,Yes,Yes,No,11/22/2022,"Carsome Tangerang Serang, Tangerang Selatan","Rp
          98.000.000"
2017 Suzuki IGNIS GX AGS 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ignis/2017-suzuki-ignis-gx-ags-1.2/cgy4000,Petrol,Gray,5,8/17/2022,Private,105.470 km,Yes,Yes,No,9/22/2022,"Carsome Bogor, Bogor","Rp
          147.000.000"
2019 Toyota AGYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/agya/2019-toyota-agya-g-1.2/c2f3000,Petrol,Red,5,10/19/2022,Private,6.194 km,No,Yes,No,10/22/2022,"Carsome Malang, Malang","Rp
          146.000.000"
2017 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2017-toyota-calya-g-1.2/cj24000,Petrol,Red,7,12/17/2022,Private,25.133 km,Yes,Yes,No,12/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          124.000.000"
2013 Toyota AVANZA G 1.3,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/avanza/2013-toyota-avanza-g-1.3/cc43000,Petrol,Gray,7,7/13/2022,Private,139.421 km,Yes,Yes,No,7/22/2022,"Carsome Sawah Besar, Jakarta Pusat","Rp
          136.000.000"
2015 Mazda BIANTE SKYACTIV 2.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mazda/biante/2015-mazda-biante-skyactiv-2.0/cme4000,Petrol,Black,7,10/15/2022,Private,119.914 km,Yes,Yes,No,11/20/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          209.000.000"
2021 Toyota AVANZA VELOZ 1.3,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/avanza/2021-toyota-avanza-veloz-1.3/cr05000,Petrol,Black,7,6/21/2022,Private,8.860 km,Yes,Yes,6/24/2022,6/23/2022,"Carsome Bandung, Bandung","Rp
          202.000.000"
2016 Honda CR-V PRESTIGE 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/cr-v/2016-honda-cr-v-prestige-2.4/c0w2000,Petrol,Gray,5,9/16/2022,Company,62.355 km,Yes,Yes,No,9/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          321.000.000"
2017 Honda CR-V TURBO 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/cr-v/2017-honda-cr-v-turbo-1.5/coj2000,Petrol,White,7,7/17/2022,Company,86.625 km,No,Yes,No,8/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          383.100.000"
2014 Honda CR-V 2WD 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/cr-v/2014-honda-cr-v-2wd-2.4/cgl4000,Petrol,Black,5,12/14/2022,Private,95.292 km,Yes,Yes,No,1/23/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          229.000.000"
2018 Chevrolet TRAX TURBO PREMIER 1.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/chevrolet/trax/2018-chevrolet-trax-turbo-premier-1.4/cby4000,Petrol,White,5,1/19/2022,Private,49.498 km,Yes,Yes,No,1/23/2022,"Carsome Bandung, Bandung","Rp
          211.000.000"
2021 Mitsubishi XPANDER CROSS PLUS 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/xpander/2021-mitsubishi-xpander-cross-plus-1.5/cvv4000,Petrol,White,7,5/21/2022,Private,24.786 km,Yes,Yes,5/24/2022,5/23/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          290.000.000"
2019 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2019-toyota-calya-g-1.2/cpx4000,Petrol,Black,7,10/19/2022,Private,22.047 km,Yes,Yes,10/22/2022,10/22/2022,"Carsome Bogor, Bogor","Rp
          138.000.000"
2019 Nissan LIVINA VE 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/nissan/livina/2019-nissan-livina-ve-1.5/cku4000,Petrol,White,7,1/20/2022,Private,30.435 km,No,Yes,12/22/2022,1/23/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          213.000.000"
2019 Honda BRIO SATYA E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2019-honda-brio-satya-e-1.2/c094000,Petrol,Gray,5,4/19/2022,Private,17.643 km,No,Yes,No,5/23/2022,"Carsome Bandung, Bandung","Rp
          158.000.000"
2018 Honda BRIO SATYA E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2018-honda-brio-satya-e-1.2/cis3000,Petrol,Red,5,7/18/2022,Private,8.515 km,Yes,Yes,No,8/23/2022,"Carsome Bogor, Bogor","Rp
          156.000.000"
2018 Honda HR-V E 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/hr-v/2018-honda-hr-v-e-1.5/ccz3000,Petrol,White,5,4/18/2022,Company,58.739 km,Yes,Yes,No,5/23/2022,"Carsome Tangerang Serang, Tangerang Selatan","Rp
          266.000.000"
2019 Toyota CAMRY V 2.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/camry/2019-toyota-camry-v-2.5/ck03000,Petrol,Black,5,3/19/2022,Company,42.321 km,No,Yes,No,4/23/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          506.000.000"
2019 Honda BR-V E 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/br-v/2019-honda-br-v-e-1.5/cxo4000,Petrol,Gray,7,3/19/2022,Private,30.622 km,Yes,Yes,No,4/23/2022,"Carsome Bekasi Siliwangi, Bekasi","Rp
          225.000.000"
2016 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2016-toyota-calya-g-1.2/c5y4000,Petrol,Silver,7,8/16/2022,Private,96.489 km,Yes,Yes,No,9/22/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          118.000.000"
2018 Honda BRIO SATYA E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2018-honda-brio-satya-e-1.2/c1e4000,Petrol,Black,4,1/19/2022,Private,32.091 km,Yes,Yes,No,1/23/2022,"Carsome Bandung, Bandung","Rp
          146.000.000"
2019 Toyota AGYA G TRD 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/agya/2019-toyota-agya-g-trd-1.2/ceo4000,Petrol,Silver,5,7/19/2022,Private,36.616 km,No,Yes,No,7/22/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          142.000.000"
2020 Toyota RUSH S TRD SPORTIVO 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/rush/2020-toyota-rush-s-trd-sportivo-1.5/cs44000,Petrol,Brown,7,3/20/2022,Private,10.615 km,Yes,Yes,3/23/2022,3/23/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          253.000.000"
2019 Toyota RUSH G 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/rush/2019-toyota-rush-g-1.5/ch44000,Petrol,Black,7,8/19/2022,Private,39.599 km,Yes,Yes,8/22/2022,8/22/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          229.000.000"
2016 Honda JAZZ RS 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/jazz/2016-honda-jazz-rs-1.5/cuo1000,Petrol,Black,5,4/16/2022,Private,64.052 km,No,No,No,10/22/2022,"Carsome Bogor, Bogor","Rp
          214.000.000"
2019 Toyota RUSH S TRD 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/rush/2019-toyota-rush-s-trd-1.5/cuk4000,Petrol,White,7,11/19/2022,Private,58.931 km,Yes,Yes,11/22/2022,11/22/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          238.000.000"
2018 Toyota YARIS G 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/yaris/2018-toyota-yaris-g-1.5/crc4000,Petrol,White,5,8/19/2022,Private,27.715 km,Yes,Yes,No,8/22/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          193.000.000"
2019 Mercedes-Benz E 300 AVANTGARDE SPORT 2.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mercedes-benz/e/2019-mercedes-benz-e-300-avantgarde-sport-2.0/cpi4000,Petrol,Black,5,12/19/2022,Company,26.842 km,Yes,Yes,12/22/2022,12/22/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          862.000.000"
2020 Toyota RUSH G 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/rush/2020-toyota-rush-g-1.5/c364000,Petrol,Black,7,9/20/2022,Company,12.238 km,Yes,Yes,10/23/2022,10/22/2022,"Carsome Depok, Depok","Rp
          231.000.000"
2013 Nissan MARCH  1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/nissan/march/2013-nissan-march--1.5/c9g3000,Petrol,Silver,5,7/14/2022,Private,67.289 km,No,Yes,No,7/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          103.000.000"
2019 Honda HR-V SE 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/hr-v/2019-honda-hr-v-se-1.5/cma3000,Petrol,Black,5,11/19/2022,Company,29.122 km,Yes,Yes,11/22/2022,11/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          305.000.000"
2021 Toyota KIJANG INNOVA G 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/kijang-innova/2021-toyota-kijang-innova-g-2.4/co93000,Diesel,Black,7,9/21/2022,Company,13.681 km,Yes,Yes,9/24/2022,9/22/2022,"Carsome Bandung, Bandung","Rp
          362.000.000"
2020 Toyota RUSH S TRD SPORTIVO 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/rush/2020-toyota-rush-s-trd-sportivo-1.5/cyl4000,Petrol,Black,7,1/20/2022,Private,12.010 km,Yes,Yes,1/23/2022,2/23/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          252.000.000"
2017 Honda MOBILIO RS 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/mobilio/2017-honda-mobilio-rs-1.5/czs3000,Petrol,Gray,7,3/18/2022,Private,52.253 km,Yes,Yes,No,3/23/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          193.000.000"
2017 Mazda CX-5 GT 2.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mazda/cx-5/2017-mazda-cx-5-gt-2.5/cus3000,Petrol,Red,5,9/17/2022,Private,75.886 km,Yes,Yes,No,10/22/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          345.000.000"
2019 Daihatsu SIGRA R STD 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/daihatsu/sigra/2019-daihatsu-sigra-r-std-1.2/cad4000,Petrol,Black,7,5/19/2022,Private,26.021 km,Yes,Yes,No,5/23/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          129.000.000"
2021 Toyota RUSH S TRD 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/rush/2021-toyota-rush-s-trd-1.5/cw04000,Petrol,Black,7,4/21/2022,Private,18.751 km,Yes,Yes,4/24/2022,4/23/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          256.000.000"
2013 Honda CIVIC FB2 1.8,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/civic/2013-honda-civic-fb2-1.8/c5y3000,Petrol,Gray,5,3/14/2022,Private,83.433 km,Yes,No,No,3/22/2022,"Carsome Malang, Malang","Rp
          199.000.000"
2020 Honda BRIO SATYA E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2020-honda-brio-satya-e-1.2/cs34000,Petrol,Black,5,2/20/2022,Private,24.158 km,Yes,Yes,2/23/2022,2/23/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          158.000.000"
2019 Toyota AVANZA VELOZ 1.3,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/avanza/2019-toyota-avanza-veloz-1.3/cta3000,Petrol,Black,7,2/20/2022,Private,30.041 km,No,Yes,2/23/2022,2/23/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          196.000.000"
2018 Toyota ALTIS V 1.8,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/altis/2018-toyota-altis-v-1.8/cko3000,Petrol,Black,5,1/19/2022,Private,23.133 km,Yes,Yes,No,1/23/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          326.000.000"
2019 Toyota AGYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/agya/2019-toyota-agya-g-1.2/cxh3000,Petrol,Gray,4,9/19/2022,Private,19.762 km,Yes,Yes,No,10/22/2022,"Carsome Bandung, Bandung","Rp
          144.000.000"
2017 Honda HR-V S 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/hr-v/2017-honda-hr-v-s-1.5/czd3000,Petrol,Black,5,12/17/2022,Private,112.379 km,Yes,Yes,No,12/22/2022,"Carsome Malang, Malang","Rp
          203.000.000"
2014 Honda MOBILIO RS 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/mobilio/2014-honda-mobilio-rs-1.5/c8m3000,Petrol,White,7,12/14/2022,Private,92.479 km,Yes,Yes,No,1/23/2022,"Carsome Bogor, Bogor","Rp
          162.000.000"
2018 Mitsubishi PAJERO SPORT DAKAR 4X2 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/pajero-sport/2018-mitsubishi-pajero-sport-dakar-4x2-2.4/cp82000,Diesel,Black,7,9/18/2022,Private,41.583 km,Yes,Yes,No,10/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          470.400.000"
2020 Toyota KIJANG INNOVA REBORN G 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/kijang-innova/2020-toyota-kijang-innova-reborn-g-2.4/cdh2000,Diesel,Black,7,3/20/2022,Company,31.034 km,Yes,Yes,No,3/23/2022,"Carsome Bekasi Siliwangi, Bekasi","Rp
          367.000.000"
2017 Toyota FORTUNER VRZ 4X2 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/fortuner/2017-toyota-fortuner-vrz-4x2-2.4/cne3000,Diesel,Black,7,5/17/2022,Private,66.534 km,Yes,Yes,No,5/23/2022,"Carsome Bogor, Bogor","Rp
          417.000.000"
2020 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2020-toyota-calya-g-1.2/cih3000,Petrol,Black,7,6/20/2022,Private,1.962 km,Yes,Yes,6/23/2022,6/23/2022,"Carsome Bogor, Bogor","Rp
          146.000.000"
2019 Toyota FORTUNER VRZ TRD 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/fortuner/2019-toyota-fortuner-vrz-trd-2.4/c642000,Diesel,Black,7,3/19/2022,Company,52.144 km,Yes,Yes,No,3/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          481.000.000"
2019 Honda HR-V SE 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/hr-v/2019-honda-hr-v-se-1.5/cyq2000,Petrol,Gray,5,4/19/2022,Private,37.068 km,Yes,Yes,No,4/23/2022,"Carsome Bogor, Bogor","Rp
          292.000.000"
2018 Toyota C-HR SINGLE TONE 1.8,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/c-hr/2018-toyota-c-hr-single-tone-1.8/c942000,Petrol,Red,5,1/19/2022,Private,15.761 km,No,Yes,No,1/23/2022,"Carsome Bandung, Bandung","Rp
          322.000.000"
2021 Honda CR-V TURBO PRESTIGE 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/cr-v/2021-honda-cr-v-turbo-prestige-1.5/cc62000,Petrol,White,7,8/21/2022,Private,8.894 km,Yes,Yes,8/24/2022,8/23/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          525.500.000"
2017 Honda MOBILIO RS 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/mobilio/2017-honda-mobilio-rs-1.5/c4z1000,Petrol,Silver,7,11/17/2022,Private,36.917 km,Yes,No,No,12/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          193.000.000"
2018 Toyota AVANZA VELOZ 1.5,Compare   Show Me More,https://www.carsome.id/en/buy-car/toyota/avanza/2018-toyota-avanza-veloz-1.5/cy24000,Petrol,Black,7,5/18/2022,Private,65.804 km,Yes,No,No,5/23/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          178.000.000"
2021 Toyota RAIZE GR SPORT TSS 1.0,Compare  Rp 15.000.000  OFF  Show Me More,https://www.carsome.id/en/buy-car/toyota/raize/2021-toyota-raize-gr-sport-tss-1.0/cuy4000,Petrol,White,5,9/21/2022,Private,8.660 km,Yes,Yes,9/24/2022,10/22/2022,"Carsome Bandung, Bandung","Rp
          255.000.000"
2017 Toyota KIJANG INNOVA REBORN VENTURER DIESEL 2.4,"Compare  Rp 5.000.000  OFF 
  BIG FLASH SALE
 Show Me More",https://www.carsome.id/en/buy-car/toyota/kijang-innova/2017-toyota-kijang-innova-reborn-venturer-diesel-2.4/cu71000,Diesel,White,7,4/17/2022,Company,76.229 km,Yes,Yes,No,4/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          382.000.000"
2018 Suzuki ERTIGA GX 1.5,Compare   Show Me More,https://www.carsome.id/en/buy-car/suzuki/ertiga/2018-suzuki-ertiga-gx-1.5/cmw3000,Petrol,Black,7,12/18/2022,Private,54.717 km,Yes,Yes,No,1/23/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          197.000.000"
2016 Honda CIVIC TURBO ES 1.5,"Compare  Rp 24.800.000  OFF 
  BIG FLASH SALE
 Show Me More",https://www.carsome.id/en/buy-car/honda/civic/2016-honda-civic-turbo-es-1.5/cal1000,Petrol,Black,4,12/16/2022,Private,63.334 km,No,No,No,12/22/2022,"Carsome Bekasi Siliwangi, Bekasi","Rp
          312.200.000"
2018 Suzuki ERTIGA GL 1.5,Compare  Rp 8.000.000  OFF  Show Me More,https://www.carsome.id/en/buy-car/suzuki/ertiga/2018-suzuki-ertiga-gl-1.5/cdz4000,Petrol,Gray,7,10/18/2022,Private,60.936 km,Yes,Yes,No,11/22/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          177.000.000"
2018 Daihatsu TERIOS R 1.5,Compare  Rp 8.000.000  OFF  Show Me More,https://www.carsome.id/en/buy-car/daihatsu/terios/2018-daihatsu-terios-r-1.5/cyw4000,Petrol,Black,7,8/18/2022,Private,51.521 km,Yes,Yes,No,8/22/2022,"Carsome Bekasi Siliwangi, Bekasi","Rp
          218.000.000"
2016 Mitsubishi PAJERO SPORT DAKAR 4X2 2.4,"Compare  Rp 31.000.000  OFF 
  BIG FLASH SALE
 Show Me More",https://www.carsome.id/en/buy-car/mitsubishi/pajero-sport/2016-mitsubishi-pajero-sport-dakar-4x2-2.4/cp22000,Diesel,Brown,7,3/17/2022,Private,74.412 km,Yes,Yes,No,3/23/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          382.000.000"
2014 Honda CR-V 2WD 2.4,Compare   Show Me More,https://www.carsome.id/en/buy-car/honda/cr-v/2014-honda-cr-v-2wd-2.4/cou4000,Petrol,Black,5,8/14/2022,Company,101.406 km,Yes,Yes,No,8/23/2022,"Carsome Cibinong, Bogor","Rp
          227.000.000"
2014 Mazda CX-5 HIGH 2.5,"Compare  Rp 13.000.000  OFF 
  BIG FLASH SALE
 Show Me More",https://www.carsome.id/en/buy-car/mazda/cx-5/2014-mazda-cx-5-high-2.5/c8k4000,Petrol,Gray,5,1/15/2022,Private,104.224 km,Yes,Yes,No,2/23/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          227.000.000"
2017 Honda CR-V TURBO PRESTIGE 1.5,"Compare  Rp 49.000.000  OFF 
  BIG FLASH SALE
 Show Me More",https://www.carsome.id/en/buy-car/honda/cr-v/2017-honda-cr-v-turbo-prestige-1.5/c4n2000,Petrol,Green,5,7/17/2022,Company,95.963 km,Yes,No,No,7/22/2022,"Carsome Bogor, Bogor","Rp
          375.000.000"
2018 Suzuki BALENO HATCHBACK 1.4,Compare  Rp 8.000.000  OFF  Show Me More,https://www.carsome.id/en/buy-car/suzuki/baleno/2018-suzuki-baleno-hatchback-1.4/c9u4000,Petrol,Red,5,9/18/2022,Private,60.311 km,Yes,Yes,No,10/22/2022,"Carsome Tangerang Serang, Tangerang Selatan","Rp
          154.000.000"
2017 Mazda 2 R 1.5,Compare   Show Me More,https://www.carsome.id/en/buy-car/mazda/2/2017-mazda-2-r-1.5/cxw3000,Petrol,White,5,11/18/2022,Private,51.530 km,Yes,No,No,10/22/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          202.000.000"
2017 Nissan GRAND LIVINA HIGHWAY STAR AUTECH 1.5,Compare  Rp 8.000.000  OFF  Show Me More,https://www.carsome.id/en/buy-car/nissan/grand-livina/2017-nissan-grand-livina-highway-star-autech-1.5/c7y4000,Petrol,Silver,7,5/17/2022,Private,75.893 km,Yes,Yes,No,5/23/2022,"Carsome Sawah Besar, Jakarta Pusat","Rp
          157.000.000"
2015 Honda CR-V PRESTIGE 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/cr-v/2015-honda-cr-v-prestige-2.4/cg91000,Petrol,Gray,5,1/16/2022,Private,87.564 km,Yes,Yes,No,1/23/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          284.000.000"
2019 Mitsubishi XPANDER CROSS PREMIUM 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/xpander/2019-mitsubishi-xpander-cross-premium-1.5/cvr3000,Petrol,White,7,1/20/2022,Private,36.145 km,Yes,Yes,No,2/23/2022,"Carsome Tangerang Serang, Tangerang Selatan","Rp
          268.000.000"
2018 Toyota VELLFIRE G 2.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/vellfire/2018-toyota-vellfire-g-2.5/cqj4000,Petrol,Purple,7,6/19/2022,Company,67.483 km,Yes,Yes,No,7/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          999.000.000"
2013 Honda ACCORD VTI-L 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/accord/2013-honda-accord-vti-l-2.4/cw34000,Petrol,Gray,4,7/13/2022,Private,94.723 km,No,No,No,8/23/2022,"Carsome Bogor, Bogor","Rp
          237.000.000"
2018 Toyota FORTUNER VRZ TRD 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/fortuner/2018-toyota-fortuner-vrz-trd-2.4/cpi1000,Diesel,Black,7,4/18/2022,Private,54.848 km,Yes,Yes,No,4/22/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          430.000.000"
2019 Honda HR-V E 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/hr-v/2019-honda-hr-v-e-1.5/cpg3000,Petrol,Black,4,6/19/2022,Private,18.433 km,No,Yes,No,6/22/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          291.000.000"
2017 Honda CR-V TURBO PRESTIGE 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/cr-v/2017-honda-cr-v-turbo-prestige-1.5/cdc3000,Petrol,Black,7,11/17/2022,Private,68.515 km,Yes,Yes,No,11/22/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          429.000.000"
